Title,URL,Companies,Topic,Difficulty,Problem,Solution
Path Sum,https://www.interviewbit.com/problems/path-sum/,"Microsoft, Yahoo, Amazon",Tree Data Structure,easy,"Given a binary tree and a sum, determine if the tree has a root-to-leaf path such that adding up all the values along the path equals the given sum.

Example :

Given the below binary tree and sum = 22,

              5
             / \
            4   8
           /   / \
          11  13  4
         /  \      \
        7    2      1
return true, as there exist a root-to-leaf path 5->4->11->2 which sum is 22.

Return 0 / 1 ( 0 for false, 1 for true ) for this problem","/**
 * Definition for binary tree
 * struct TreeNode {
 *     int val;
 *     TreeNode *left;
 *     TreeNode *right;
 *     TreeNode(int x) : val(x), left(NULL), right(NULL) {}
 * };
 */
int Solution::hasPathSum(TreeNode* A, int B) {
    if (!A) {
        if (B == 0) {
            return 1;
        }
        return 0;
    }
    int ans = 0;
    int subSum = B - A->val;
    if (subSum == 0 && !A->left && !A->right) {
        return 1;
    }
    if (A->left) {
        ans = ans || hasPathSum(A->left,subSum);
    }
    if (A->right) {
        ans = ans || hasPathSum(A->right,subSum);
    }
    return ans;
}"
Next Pointer Binary Tree,https://www.interviewbit.com/problems/next-pointer-binary-tree/,"Microsoft, Amazon",Tree Data Structure,easy,"Given a binary tree

    struct TreeLinkNode {
      TreeLinkNode *left;
      TreeLinkNode *right;
      TreeLinkNode *next;
    }
Populate each next pointer to point to its next right node. If there is no next right node, the next pointer should be set to NULL.

Initially, all next pointers are set to NULL.

Note:

You may only use constant extra space.
You may assume that it is a perfect binary tree (ie, all leaves are at the same level, and every parent has two children).
Example :

Given the following perfect binary tree,

         1
       /  \
      2    5
     / \  / \
    3  4  6  7
After calling your function, the tree should look like:

         1 -> NULL
       /  \
      2 -> 5 -> NULL
     / \  / \
    3->4->6->7 -> NULL
Note that using recursion has memory overhead and does not qualify for constant space.",N/A
Min Depth of Binary Tree,https://www.interviewbit.com/problems/min-depth-of-binary-tree/,"Facebook, Amazon",Tree Data Structure,medium,"Problem Description
 
 

Given a binary tree, find its minimum depth.
The minimum depth is the number of nodes along the shortest path from the root node down to the nearest leaf node.
NOTE: The path has to end on a leaf node.


Input Format
The first argument is a TreeNode, pointing to the root of the binary tree.


Output Format
Return an integer equal to the minimum depth of the tree.


Example Input
  1
 /
2


Example Output
2


Example Explanation
Minimum Depth is 2, which is from 1 -> 2.","/**
 * Definition for binary tree
 * struct TreeNode {
 *     int val;
 *     TreeNode *left;
 *     TreeNode *right;
 *     TreeNode(int x) : val(x), left(NULL), right(NULL) {}
 * };
 */ 
int Solution::minDepth(TreeNode* root) {
    // Corner case. Should never be hit unless the code is called on root = NULL
    if (root == NULL) return 0;
    // Base case : Leaf node. This accounts for height = 1.
    if (root->left == NULL && root->right == NULL) return 1;

    if (!root->left) return minDepth(root->right) + 1;
    if (!root->right) return minDepth(root->left) + 1;

    return min(minDepth(root->left), minDepth(root->right)) + 1; 
}"
Root to Leaf Paths With Sum,https://www.interviewbit.com/problems/root-to-leaf-paths-with-sum/,"Microsoft, Yahoo, Amazon",Tree Data Structure,medium,"Given a binary tree and a sum, find all root-to-leaf paths where each path’s sum equals the given sum.

For example:

Given the below binary tree and sum = 22,

              5
             / \
            4   8
           /   / \
          11  13  4
         /  \    / \
        7    2  5   1
return

[
   [5,4,11,2],
   [5,8,4,5]
]","/**
 * Definition for binary tree
 * struct TreeNode {
 *     int val;
 *     TreeNode *left;
 *     TreeNode *right;
 *     TreeNode(int x) : val(x), left(NULL), right(NULL) {}
 * };
 */
vector<vector<int> > Solution::pathSum(TreeNode* A, int B) {
    vector<vector<int> > ret;
    if (!A) {
        if (B == 0) {
            return ret;
        }
        return ret;
    }
    int ans = 0;
    int subSum = B - A->val;
    if (subSum == 0 && !A->left && !A->right) {
        vector<int> temp(1,A->val);
        ret.push_back(temp);
        return ret;
    }
    if (A->left) {
        vector<vector<int> > temp = pathSum(A->left,subSum);
        for (int i = 0; i < temp.size(); ++i) {
            vector<int> temp1 = temp[i];
            std::vector<int>::iterator it = temp1.begin();
            temp1.insert(it,A->val);
            ret.push_back(temp1);
        }
    }
    if (A->right) {
        vector<vector<int> > temp = pathSum(A->right,subSum);
        for (int i = 0; i < temp.size(); ++i) {
            vector<int> temp1 = temp[i];
            std::vector<int>::iterator it = temp1.begin();
            temp1.insert(it,A->val);
            ret.push_back(temp1);
        }
    }
    return ret;
}"
Merge K Sorted Lists,https://www.interviewbit.com/problems/merge-k-sorted-lists/,"Facebook, Amazon, Google",Heaps And Maps,hard,"Merge k sorted linked lists and return it as one sorted list.

Example :

1 -> 10 -> 20
4 -> 11 -> 13
3 -> 8 -> 9
will result in

1 -> 3 -> 4 -> 8 -> 9 -> 10 -> 11 -> 13 -> 20","/**
 * Definition for singly-linked list.
 * struct ListNode {
 *     int val;
 *     ListNode *next;
 *     ListNode(int x) : val(x), next(NULL) {}
 * };
 */
ListNode* Solution::mergeKLists(vector<ListNode*> &A) {
    map<int,int> heap;
    int i;
    ListNode* temp, *ret;
    
    for (i = 0; i < A.size(); i++) {
        temp = A[i];
        while (temp) {
            if (heap.find(temp->val) != heap.end()) {
                ++heap[temp->val];
            } else {
                heap[temp->val] = 1;
            }
            temp = temp->next;
        }
    }
    
    ret = new ListNode((heap.begin())->first);
    temp = ret;
    if (heap[ret->val] == 1) {
        heap.erase(ret->val);
    } else {
        --heap[ret->val];
    }
    
    for (map<int,int>::iterator it = heap.begin(); it != heap.end(); ++it) {
        while (it->second != 0) {
            temp->next = new ListNode(it->first);
            temp = temp->next;
            --it->second;
        }
    }
    return ret;
    
}"
LRU Cache,https://www.interviewbit.com/problems/lru-cache/,"Adobe, Amazon, Microsoft",Heaps And Maps,hard,"Design and implement a data structure for LRU (Least Recently Used) cache. It should support the following operations: get and set.

get(key) - Get the value (will always be positive) of the key if the key exists in the cache, otherwise return -1.
set(key, value) - Set or insert the value if the key is not already present. When the cache reaches its capacity, it should invalidate the least recently used item before inserting the new item.
The LRU Cache will be initialized with an integer corresponding to its capacity. Capacity indicates the maximum number of unique keys it can hold at a time.

Definition of “least recently used” : An access to an item is defined as a get or a set operation of the item. “Least recently used” item is the one with the oldest access time.

NOTE: If you are using any global variables, make sure to clear them in the constructor.

Example :

Input : 
         capacity = 2
         set(1, 10)
         set(5, 12)
         get(5)        returns 12
         get(1)        returns 10
         get(10)       returns -1
         set(6, 14)    this pushes out key = 5 as LRU is full. 
         get(5)        returns -1 ","#include<list>
#include<unordered_map>
 
                typedef list<int> LI; // doubly linked list
                typedef pair<int, LI::iterator> PII;
                typedef unordered_map<int, PII> HIPII;

                
                HIPII cache;
                LI used;
                int _capacity;
                
                void touch(HIPII::iterator it) {
                        int key = it->first;
                        used.erase(it->second.second);
                        used.push_front(key);
                        it->second.second = used.begin();
                }

                
                LRUCache::LRUCache(int capacity) {
                        _capacity = capacity;
                        cache.clear();
                        used.clear();
                }

                int LRUCache::get(int key) {
                        HIPII::iterator it = cache.find(key);
                        if (it == cache.end()) return -1;
                        touch(it);
                        return it->second.first;
                }

                void LRUCache::set(int key, int value) {
                        HIPII::iterator it = cache.find(key);
                        if (it != cache.end()) touch(it);
                        else {
                                if (cache.size() == _capacity) {
                                        cache.erase(used.back());
                                        used.pop_back();
                                }
                                used.push_front(key);
                        }
                        cache[key] = make_pair(value, used.begin());
                }"
NESTED_CMPL2,https://www.interviewbit.com/problems/nestedcmpl2/,N/A,Time Complexity,easy,"What is the time complexity of the following code :

    int a = 0;
    for (i = 0; i < N; i++) {
        for (j = N; j > i; j--) {
            a = a + i + j;
        }
    } O(N)
O(N*log(N))
O(N * Sqrt(N))
O(N*N)","Total number of runs = N + (N - 1) + (N - 2) + ... 1 + 0

= N * (N + 1) / 2

= 1/2 * N^2 + 1/2 * N

O(N^2) times. "
CHOOSE3,https://www.interviewbit.com/problems/choose3/,N/A,Time Complexity,easy,"In a competition, four different functions are observed. All the functions use a single for loop and within the for loop, same set of statements are executed.

Consider the following for loops:

  A) for(i = 0; i < n; i++)
 
  B) for(i = 0; i < n; i += 2)
 
  C) for(i = 1; i < n; i *= 2)
 
  D) for(i = n; i > -1; i /= 2)
If n is the size of input(positive), which function is the most efficient? In other words, which loop completes the fastest.A
B
C
D","The time complexity of the first for loop is O(n). 

The time complexity of the second for loop is O(n/2), equivalent to O(n) in asymptotic analysis. 

The time complexity of the third for loop is O(logn). 

The fourth for loop doesn't terminate. "
NESTED_CMPL3,https://www.interviewbit.com/problems/nestedcmpl3/,"Amazon, Microsoft",Time Complexity,easy,"What is time complexity of following code :

        int count = 0;
        for (int i = N; i > 0; i /= 2) {
            for (int j = 0; j < i; j++) {
                count += 1;
            }
        }O(N * N)
O(N * log N)
O(N * log(log(N)))
O(N)
O(N * Sqrt(N))","In the first iteration, the j loop runs N times.

In the second iteration, the j loop runs N / 2 times. 

In the ith iteration, the j loop runs N / 2^i times. 

So, the total number of runs of loop = N + N / 2 + N / 4 + ... 1 

= **N * ( 1 + 1/2 + 1/4 + 1/8 + ... ) < 2 * N** 
"
CHOOSE4,https://www.interviewbit.com/problems/choose4/,N/A,Time Complexity,easy,"What does it mean when we say that an algorithm X is asymptotically more efficient than Y?X will always be a better choice for all inputs
X will always be a better choice for large inputs
X will always be a better choice for small inputs
Y will always be a better choice for small inputs",In asymptotic analysis we consider growth of algorithm in terms of input size. An algorithm X is said to be asymptotically better than Y if X takes smaller time than y for all input sizes n larger than a value n0 where n0 > 0.
AMORTIZED1,https://www.interviewbit.com/problems/amortized1/,N/A,Time Complexity,easy,"What is the time complexity of the following code :

        int j = 0;
        for(int i = 0; i < n; ++i) {
            while(j < n && arr[i] < arr[j]) {
                j++;
            }
        }(n)
O(n^2)
O(nlogn)
O(n(logn)^2)
Can't say. Depends on the value of arr.","Note that the variable j is not initialized for each value of variable i.
Hence, the inner j++ will be executed at most n times.
The i loop also runs n times.
So, the whole thing runs for O(n) times.


**Still not convinced ?**

Lets assume the array passed has its element in decreasing order. We will just dry run through the code :

Iteration 1 : i = 0, j = 0. arr[0] < arr[0] is false. So, the inner while loop breaks.

Iteration 2: i =1, j = 0. arr[1] < arr[0] is true. j becomes 1.

Iteration 3 : i = 1, j = 1. Condition false. We break. Note that j will remain 1 and is not reset back to 0.

Iteration 4 : i = 2, j = 1. arr[2] < arr[1]. True. j = 2.

Iteration 5 : i = 2, j = 2. Condition false. Break.

Iteration 6 : i = 3, j = 2. arr[3] < arr[2]. True. j = 3.

Iteration 7 : i = 3, j = 3. Condition false. Break.


As you can see, the inner while loop only runs once in this case.
So, total iterations is **2 * N.**"
CHOOSE2,https://www.interviewbit.com/problems/choose2/,N/A,Time Complexity,easy,"Which of the given options provides the increasing order of complexity of functions f1, f2, f3 and f4:

f1(n) = 2^n

f2(n) = n^(3/2)

f3(n) = nLogn

f4(n) = n^(Logn)f3, f2, f4, f1
f3, f2, f1, f4
f2, f3, f1, f4
f2, f3, f4, f1",Try to look at the values for functions for very large value of n.
GCD_CMPL,https://www.interviewbit.com/problems/gcdcmpl/,N/A,Time Complexity,easy,"In the following C++ function, let n >= m.


int gcd(int n, int m) {
  if (n%m ==0) return m;
  if (n < m) swap(n, m);
  while (m > 0) {
    n = n%m;
    swap(n, m);
  }
  return n;
}
What is the time complexity of the above function assuming n > m?. 
? symbol represents theta notation and ? symbol represents omega notation.(logn)
?(n)
?(loglogn)
?(sqrt(n))","The worst case will arise when n and m are consecutive Fibonacci numbers.
i.e.
gcd(Fn,Fn?1) = gcd(Fn?1,Fn?2) =? = gcd(F1,F0) = 1

and nth Fibonacci number is 1.618^n, where 1.618 is the Golden ratio.

So, to find gcd(n,m), number of recursive calls will be  ?(logn).

More detailed explanation : 

Let us say n = fibonacci(N) and m = fibonacci(N - 1)

fibonacci(N) = fibonacci(N-1) + fibonacci(N-2)

OR n = m + k where k and nth Fibonacci number is 1.618n, where 1.618 is the Golden ratio.< m. 

Therefore the step 

    n = n % m will make n = k
    
    swap(n, m) will result in
    
    n = fibonacci(N-1)
        
    m = k = fibonacci(N-2)
    
So, it will take N steps before m becomes 0.

This means, in the worst case, this algorithm can take N step if **n** is Nth fibonacci number. 

**Think of whats the relation between N and n**. "
LOOP_CMPL2,https://www.interviewbit.com/problems/loopcmpl2/,N/A,Time Complexity,easy,"What is the time complexity of the following code :

int i, j, k = 0;
for (i = n/2; i <= n; i++) {
    for (j = 2; j <= n; j = j * 2) {
         k = k + n/2;
    }
}?(n)
?(nLogn)
?(n^2)
?(n^2 / Logn)
?(n^2Logn)","Lets look at the code we are evaluating : 

int i, j, k = 0;

    for (i  = n/2; i <= n; i++) {

        for (j = 2; j <= n; j = j * 2) {

            k = k + n/2;

        }

    }


Now, lets just assume `n = 8` for now. 
We will try to see, the values of j corresponding to each i. 

i = 4, j = 2, 4, 8

i = 5, j = 2, 4, 8

i = 6, j = 2, 4, 8

i = 7, j = 2, 4, 8

i = 8, j = 2, 4, 8


If you notice, j keeps doubling till it is less than or equal to n. Number of times, you can double a number till it is less than n would be log(n). 

Lets take more examples here to convince ourselves.

n = 16, j = 2, 4, 8, 16

 n = 32, j = 2, 4, 8, 16, 32


So, j would run for O(log n) steps. 
i runs for n/2 steps. 

So, total steps ` = O (n/ 2 * log (n)) = O(n logn) `
"
WHILE_CMPL,https://www.interviewbit.com/problems/whilecmpl/,N/A,Time Complexity,easy,"What is the time complexity of the following code :

        int a = 0, i = N;
        while (i > 0) {
            a += i;
            i /= 2;
        }O(N)
O(Sqrt(N))
O(N / 2)
O(log N)
O(log(log N))","We have to find the smallest x such that `N / 2^x < 1 OR 2^x > N`

x = log(N) "
CHOOSE1,https://www.interviewbit.com/problems/choose1/,N/A,Time Complexity,easy,"Which of the following is not bounded by O(n^2)?(15^10) * n + 12099
n^1.98
n^3 / (sqrt(n))
(2^20) * n","The order of growth of option (C) is n^2.5 which is higher than n^2.

Lets look at it with a different approach :

f(n) = O(n^2) if

f(n) <= C * n^2 for n > n0.


Lets look at every option one by one.

* Option 1 :

(15^10) * n + 12099

    Lets say C = 16^10

        15^10 * n + 12099 < 16^10 * n^2 for n > 1.

    So, it is O(n^2).


* Option 2 : n^1.98

C = 1.
    n^1.98 < n^2 for n > 1.
So, its O(n^2) ```
Option 3 : n^3 / (sqrt(n)) or n^2.5
    There is no possible combination of C and n0 possible
Option 4 : 2^20 * n
    C = 2^20, n0 = 1
        2^20 * n <= 2^20 * n^2 for n > 1
```"
LOOP_CMPL,https://www.interviewbit.com/problems/loopcmpl/,Amazon,Time Complexity,easy,"What is the time, space complexity of following code :

        int a = 0, b = 0;    
        for (i = 0; i < N; i++) {
            a = a + rand();  
        }
        for (j = 0; j < M; j++) {
            b = b + rand();
        }
Assume that rand() is O(1) time, O(1) space function.O(N * M) time, O(1) space
O(N + M) time, O(N + M) space
O(N + M) time, O(1) space
O(N * M) time, O(N + M) space
O(N * M) time, O(N * M) space","The first loop is O(N) and the second loop is O(M). Since you don't know which is bigger, you say **this is O(N + M)**. This can also be written as O(max(N, M)).

Since there is no additional space being utilised, the space complexity is constant / O(1)"
NESTED_CMPL,https://www.interviewbit.com/problems/nestedcmpl/,N/A,Time Complexity,easy,"What is the time, space complexity of following code :

int a = 0, b = 0; 
for (i = 0; i < N; i++) { 
    for (j = 0; j < N; j++) { 
        a = a + j; 
    } 
} 
for (k = 0; k < N; k++) { 
    b = b + k; 
}O(N * N) time, O(1) space
O(N) time, O(N) space
O(N * N * N) time, O(1) space
O(N * N) time, O(N) space","The first set of nested loops is O(N^2) and the second loop is O(N). 

This is O(max(N^2,N)) which is O(N^2). "
ARRAY_2D,https://www.interviewbit.com/problems/array2d/,N/A,Arrays,easy,"
vector<vector<int> > performOps(vector<vector<int> > &A) {
    vector<vector<int> > B;
    B.resize(A.size());
    for (int i = 0; i < A.size(); i++) {
        B[i].resize(A[i].size());
        for (int j = 0; j < A[i].size(); j++) {
            B[i][A[i].size() - 1 - j] = A[i][j];
        }
    }
    return B;
}

Lets say performOps was called with A : [[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12]] .

What would be the output of the following call :


vector<vector<int> > B = performOps(A);
for (int i = 0; i < B.size(); i++) {
    for (int j = 0; j < B[i].size(); j++) cout<<B[i][j]<<"" "";
}",4 3 2 1 8 7 6 5 12 11 10 9
ARRAY_BUG,https://www.interviewbit.com/problems/arraybug/,N/A,Arrays,easy,"The following code is supposed to rotate the array A by B positions.

So, for example,


A : [1 2 3 4 5 6]
B : 1

The output :

[2 3 4 5 6 1]
However, there is a small bug in the problem. Fix the bug and submit the problem.","vector<int> Solution::rotateArray(vector<int> &A, int B) {
	vector<int> ret; 
	for (int i = 0; i < A.size(); i++) {
		ret.push_back(A[(i + B)%A.size()]);
	}
	return ret; 
}"
ARRAY_IMPL1,https://www.interviewbit.com/problems/arrayimpl1/,N/A,Arrays,easy,"vector<int> performOps(vector<int> A) {
    vector<int> B(2 * A.size(), 0);
    for (int i = 0; i < A.size(); i++) {
        B[i] = A[i];
        B[i + A.size()] = A[(A.size() - i) % A.size()];
    }
    return B;
}

Lets say performOps was called with A : [5, 10, 2, 1].
What would be the output of the following call :

( NOTE : The output shoudl be written in the below provided text field , there should not be any ‘,’ between the numbers . For example: 1 2 3 4 )


vector<int> B = performOps(A);
for (int i = 0; i < B.size(); i++) {
    cout<<B[i]<<"" "";
}",5 10 2 1 5 1 2 10 
MATH_BUG01,https://www.interviewbit.com/problems/mathbug01/,N/A,Math,easy,"Following code tries to figure out if a number is prime ( Wiki )

However, it has a bug in it.

Please correct the bug and then submit the code.// Return 1 if A is prime, else 0
int Solution::isPrime(int A) {
	int upperLimit = (int)(sqrt(A));
	for (int i = 2; i <= upperLimit; i++) {
		if (i < A && A % i == 0) return 0;
	}
	return 1;
}","// Return 1 if A is prime, else 0
int Solution::isPrime(int A) {
    if(A == 1) return 0;
	int upperLimit = (int)(sqrt(A));
	while(upperLimit*upperLimit<= A)
	    upperLimit++;
	for (int i = 2; i <= upperLimit; i++) {
		if (i < A && A % i == 0) return 0;
	}
	return 1;
}"
MATH_BUG02,https://www.interviewbit.com/problems/mathbug02/,N/A,Math,easy,"Given a non negative integer A,

following code tries to find all pair of integers (a, b) such that

a and b are positive integers
a <= b, and
a2 + b2 = A.
0 <= A <= 100000
However, the code has a small bug. Correct the bug and submit the code.vector<vector<int> > Solution::squareSum(int A) {
	vector<vector<int> > ans;
	for (int a = 0; a * a < A; a++) {
		for (int b = 0; b * b < A; b++) {
			if (a * a + b * b == A) {
				vector<int> newEntry; 
				newEntry.push_back(a);
				newEntry.push_back(b);
				ans.push_back(newEntry);
			}
		}
	}
	return ans;
}","vector<vector<int> > Solution::squareSum(int A) {
	vector<vector<int> > ans;
	for (int a = 0; a * a < A; a++) {
		for (int b = a; b * b < A; b++) {
			if (a * a + b * b == A) {
				vector<int> newEntry; 
				newEntry.push_back(a);
				newEntry.push_back(b);
				ans.push_back(newEntry);
			}
		}
	}
	return ans;
}"
Spider's Web,https://www.interviewbit.com/problems/spiders-web/,N/A,Puzzles,easy,"A spider is trying to build a web for itself. The web built by it doubles every day.

If the spider entirely built the web in 15 days, how many days did it take for the spider to build 25% of the web?

Answer is an integer.  Just put the number without any decimal places if it’s an integer. If the answer is Infinity, output Infinity.

Feel free to get in touch with us if you have any questions","Given that Spider doubles its work every day let’s figure out the amount of work done till the 14th day ( a day before 15 days ). 

Let’s say the work done till the 14th day is X. Spider doubled the work done till the 14th on 15th. On day 15th, Spider did X more work.

We know that 2X = 100% work. 

Which means X = 50% work.

The Spider built 50% of the web till the 14th day. 

If you extend it, the Spider did 25% of the work till the 13th day."
AMORTIZED2,https://www.interviewbit.com/problems/amortized2/,N/A,Time Complexity,easy,"What is the time complexity of the following code :

        int j = 0;
        for(i = 0; i < n; ++i) {
            while(j < n && arr[i] < arr[j]) {
                j++;
            }
        }
O(n^2)
O(nlogn)
O(n(logn)^2)
O(n)
O(n * sqrt(n))
O(n^2 logn)
Can't say. Depends on the value of arr.",N/A
PRETTYPRINT,https://www.interviewbit.com/problems/prettyprint/,N/A,Arrays,easy,"Print concentric rectangular pattern in a 2d matrix. 

Let us show you some examples to clarify what we mean.

Example 1:

Input: A = 4.

Output:

4 4 4 4 4 4 4 
4 3 3 3 3 3 4 
4 3 2 2 2 3 4 
4 3 2 1 2 3 4 
4 3 2 2 2 3 4 
4 3 3 3 3 3 4 
4 4 4 4 4 4 4 
Example 2:

Input: A = 3.

Output:

3 3 3 3 3 
3 2 2 2 3 
3 2 1 2 3 
3 2 2 2 3 
3 3 3 3 3 
The outermost rectangle is formed by A, then the next outermost is formed by A-1 and so on.

You will be given A as an argument to the function you need to implement, and you need to return a 2D array.",N/A
Kth Smallest Element in the Array,https://www.interviewbit.com/problems/kth-smallest-element-in-the-array/,N/A,Binary Search,easy,"Problem Description
 
 

Find the Bth smallest element in an unsorted array of non-negative integers A.
Definition of kth smallest element: The kth smallest element is the minimum possible n such that there are at least k elements in the array <= n.
In other words, if the array A was sorted, then Ak - 1

NOTE: You are not allowed to modify the array (The array is read-only). Try to do it using constant extra space.



Problem Constraints
1 <= |A| <= 106

1 <= B <= |A|

1 <= A[i] <= 109



Input Format
The first argument is an integer array A.

The second argument is integer B.



Output Format
Return the Bth smallest element in given array.



Example Input
Input 1:

A = [2, 1, 4, 3, 2]
B = 3
Input 2:

A = [1, 2]
B = 2


Example Output
Output 1:

 2
Output 2:

 2


Example Explanation
Explanation 1:

 3rd element after sorting is 2.
Explanation 2:

 2nd element after sorting is 2.",N/A
NUMRANGE,https://www.interviewbit.com/problems/numrange/,N/A,Two Pointers,easy,"Given an array of non negative integers A, and a range (B, C), 

find the number of continuous subsequences in the array which have sum S in the range [B, C] or B <= S <= C

Continuous subsequence is defined as all the numbers A[i], A[i + 1], .... A[j]

where 0 <= i <= j < size(A)

Example :

A : [10, 5, 1, 0, 2]
(B, C) : (6, 8)
ans = 3 

as [5, 1], [5, 1, 0], [5, 1, 0, 2] are the only 3 continuous subsequence with their sum in the range [6, 8]

NOTE : The answer is guranteed to fit in a 32 bit signed integer.",N/A
SUBTRACT,https://www.interviewbit.com/problems/subtract/,N/A,Linked Lists,easy,"Given a singly linked list, modify the value of first half nodes such that :

1st node’s new value = the last node’s value - first node’s current value
2nd node’s new value = the second last node’s value - 2nd node’s current value,
and so on …

NOTE :

If the length L of linked list is odd, then the first half implies at first floor(L/2) nodes. So, if L = 5, the first half refers to first 2 nodes.
If the length L of linked list is even, then the first half implies at first L/2 nodes. So, if L = 4, the first half refers to first 2 nodes.
Example :

Given linked list 1 -> 2 -> 3 -> 4 -> 5,

You should return 4 -> 2 -> 3 -> 4 -> 5

as

for first node, 5 - 1 = 4
for second node, 4 - 2 = 2
Try to solve the problem using constant extra space.",N/A
NEXTGREATER,https://www.interviewbit.com/problems/nextgreater/,N/A,Stacks And Queues,easy,"Given an array, find the next greater element G[i] for every element A[i] in the array.  The Next greater Element for an element A[i] is the first greater element on the right side of A[i] in array. 

More formally,

G[i] for an element A[i] = an element A[j] such that 
    j is minimum possible AND 
    j > i AND
    A[j] > A[i]
Elements for which no greater element exist, consider next greater element as -1.

Example:

Input : A : [4, 5, 2, 10]

Output : [5, 10, 10, -1]

Example 2:

Input : A : [3, 2, 1]

Output : [-1, -1, -1]",N/A
INVERSIONS,https://www.interviewbit.com/problems/inversions/,Amazon,Heaps And Maps,easy,"Problem Description
 
 

Given an array A, count the number of inversions in the array.
Formally speaking, two elements A[i] and A[j] form an inversion if A[i] > A[j] and i < j


Example Input
A : [2, 4, 1, 3, 5]


Example Output
3


Example Explanation
A : [2, 4, 1, 3, 5]
Output : 3
as the 3 inversions are (2, 1), (4, 1), (4, 3).",N/A
Ratio of Boys and Girls,https://www.interviewbit.com/problems/ratio-of-boys-and-girls/,Google,Puzzles,easy,"In a country where everyone wants a boy, each family continues having babies till they have a boy.

After a long time, what is the proportion of boys to girls in the country? (Assuming probability of having a boy or a girl is the same)

Round off your answer to two decimal places and output the answer as I.xx where I is the integer part of your answer, and xx is the first two decimal places of the rounded-off answer.","Assume there are C number of couples, so there would be C boys. The number of girls can be calculated by the following method.

	Number of girls = 0*(Probability of 0 girls) + 1*(Probability of 1 girl) + 2*(Probability of 2 girls) + …
	Number of girls = 0*(C*1/2) + 1*(C*1/2*1/2) + 2*(C*1/2*1/2*1/2) + …
	Number of girls = 0 + C/4 + 2*C/8 + 3*C/16 + …
	Number of girls = C
	(using mathematical formulas; it becomes apparent if you sum up the first 4-5 terms)
The proportion of boys to girls is 1 : 1.

As such, the answer would be 1.00"
Max Non Negative SubArray,https://www.interviewbit.com/problems/max-non-negative-subarray/,Google,Arrays,easy,"Problem Description

Given an array of integers, A of length N, find out the maximum sum sub-array of non negative numbers from A.

The sub-array should be contiguous i.e., a sub-array created by choosing the second and fourth element and skipping the third element is invalid.

Maximum sub-array is defined in terms of the sum of the elements in the sub-array.

Find and return the required subarray.

NOTE:  

If there is a tie, then compare with segment's length and return segment which has maximum length.
If there is still a tie, then return the segment with minimum starting index.


Problem Constraints
1 <= N <= 105

-109 <= A[i] <= 109



Input Format
The first and the only argument of input contains an integer array A, of length N.



Output Format
Return an array of integers, that is a subarray of A that satisfies the given conditions.



Example Input
Input 1:

 A = [1, 2, 5, -7, 2, 3]
Input 2:

 A = [10, -1, 2, 3, -4, 100]


Example Output
Output 1:

 [1, 2, 5]
Output 2:

 [100]


Example Explanation
Explanation 1:

 The two sub-arrays are [1, 2, 5] [2, 3].
 The answer is [1, 2, 5] as its sum is larger than [2, 3].
Explanation 2:

 The three sub-arrays are [10], [2, 3], [100].
 The answer is [100] as its sum is larger than the other two.","vector<int> Solution::maxset(vector<int> &Vec) { 
        int N = Vec.size();

        long long mx_sum = 0;
        long long cur_sum = 0;
        int mx_range_left = -1;
        int mx_range_right = -1;
        int cur_range_left = 0;
        int cur_range_right = 0;

        while(cur_range_right < N) {
            if(Vec[cur_range_right] < 0) {
                cur_range_left = cur_range_right + 1;
                cur_sum = 0;
            } else {
                cur_sum += (long long)Vec[cur_range_right];
                if(cur_sum > mx_sum) {
                    mx_sum = cur_sum;
                    mx_range_left = cur_range_left;
                    mx_range_right = cur_range_right + 1;
                } else if(cur_sum == mx_sum) {
                    if(cur_range_right + 1 - cur_range_left > mx_range_right - mx_range_left) {
                        mx_range_left = cur_range_left;
                        mx_range_right = cur_range_right + 1;
                    }
                }
            }
            cur_range_right++;
        }
        vector<int> ans;
        if(mx_range_left == -1 || mx_range_right == -1)
                return ans;

        for(int i = mx_range_left; i < mx_range_right; ++i)
                ans.push_back(Vec[i]);
        return ans;
}"
Wave Array,https://www.interviewbit.com/problems/wave-array/,"Google, Adobe, Amazon",Arrays,easy,"Problem Description
 
 

Given an array of integers A, sort the array into a wave-like array and return it. 
In other words, arrange the elements into a sequence such that

a1 >= a2 <= a3 >= a4 <= a5..... 
NOTE: If multiple answers are possible, return the lexicographically smallest one.



Problem Constraints
1 <= len(A) <= 106

1 <= A[i] <= 106



Input Format
The first argument is an integer array A.



Output Format
Return an array arranged in the sequence as described.



Example Input
Input 1:

A = [1, 2, 3, 4]
Input 2:

A = [1, 2]


Example Output
Output 1:

[2, 1, 4, 3]
Output 2:

[2, 1]


Example Explanation
Explanation 1:

One possible answer : [2, 1, 4, 3]
Another possible answer : [4, 1, 3, 2]
First answer is lexicographically smallest. So, return [2, 1, 4, 3].
Explanation 1:

Only possible answer is [2, 1].","vector<int> Solution::wave(vector<int> &A) {
    sort(A.begin(), A.end());
    for(int i=0; i<A.size()-1; i+=2) swap(A[i], A[i+1]);
    return A;
}"
